,Unnamed: 0,iso3,admin_name,GID_1,population,latitude,longitude,geometry,area,pop_density,capital,demand,ev_center_id,build?
0,0,KEN,Kirinyaga,KEN.15_1,238921,-0.6552,37.3649,"POLYGON ((37.4639473 -0.73363703, 37.44437408 -0.73055917, 37.42127609 -0.74730164, 37.38764191 -0.75287372, 37.37112045 -0.76404595, 37.35892868 -0.76164478, 37.35861206 -0.7696768, 37.34814072 -0.77223307, 37.32595444 -0.76458859, 37.31552505 -0.74833971, 37.27644348 -0.75371343, 37.26714325 -0.78513974, 37.25539398 -0.7558932900000001, 37.26031876 -0.74927241, 37.27023315 -0.75230044, 37.24214554 -0.70127231, 37.23448944 -0.6363589200000001, 37.25354385 -0.62093389, 37.27375412 -0.58713818, 37.32236481 -0.55758822, 37.37817764 -0.54527819, 37.37363434 -0.55508327, 37.41352463 -0.54912919, 37.42959976 -0.5378249899999999, 37.44680023 -0.53847909, 37.45264053 -0.54891843, 37.47398376 -0.55822551, 37.48531723 -0.58179146, 37.4764595 -0.5990427699999999, 37.48823547 -0.61434984, 37.47198868 -0.65271384, 37.47812653 -0.71255487, 37.49642944 -0.72982335, 37.47382355 -0.72407329, 37.4639473 -0.73363703))",0.0445209827857526,435,admin,4778.0,EV_Service_Center 1,Yes
1,1,KEN,Tana River,KEN.40_1,93015,-1.4927,39.5024,"POLYGON ((40.18707275 -1.89379883, 40.07287598 -1.89678955, 40.06207275 -1.84289551, 40.03668213 -1.79248047, 39.81390381 -1.78460693, 39.8057251 -1.79718018, 39.8137207 -1.78442383, 39.76672363 -1.78369141, 39.75970459 -1.79431152, 39.33569336 -1.79241943, 39.28276062 -1.85494006, 39.24951172 -1.87121582, 39.24188232 -1.8973999, 39.11791992 -1.97711182, 39.05987549 -1.9487915, 39.01367188 -1.9151001, 38.95812988 -1.70361328, 38.99908447 -1.67886925, 38.9618454 -1.05305576, 38.95330811 -1.03430176, 39.86187744 -1.18811035, 39.88470459 -1.23436999, 39.90382004 -1.30327117, 39.98828125 -1.3013916, 39.96447754 -1.24267578, 39.96411133 -1.2230835, 39.98010254 -1.19342041, 40.01329422 -1.16450286, 40.03887939 -1.19970703, 40.05670166 -1.24859619, 40.04968262 -1.315979, 40.06091309 -1.33911133, 40.08868408 -1.47949219, 40.10517883 -1.50456774, 40.11688232 -1.55220962, 40.14691162 -1.58779311, 40.15667725 -1.61550307, 40.15869141 -1.6955812, 40.17071533 -1.72121596, 40.15789795 -1.75820327, 40.15911865 -1.7835083, 40.1651001 -1.82570815, 40.18792725 -1.86080337, 40.18707275 -1.89379883))",0.7889579881702556,9,admin,1853.0,EV_Service_Center 2,Yes
2,2,KEN,Murang'a,KEN.29_1,178986,-0.876,37.0108,"POLYGON ((37.12119293 -0.90008473, 37.12324905 -0.93328029, 37.09391785 -0.96365535, 37.06391907 -0.94236267, 37.03526306 -0.96067357, 36.99193573 -0.90365624, 36.93662643 -0.87523568, 36.91324997 -0.83536887, 36.89006042 -0.83292371, 36.87753677 -0.81654263, 36.86314774 -0.81918567, 36.85500717 -0.8020364, 36.85807419 -0.79565924, 36.87016296 -0.80292386, 36.87236404 -0.79277092, 36.89675522 -0.79056996, 36.91072083 -0.79971433, 36.93908691 -0.7978701, 37.04269791 -0.8548728799999999, 37.0579071 -0.8530227500000001, 37.08270264 -0.87200648, 37.12476349 -0.88140565, 37.16952896 -0.87085038, 37.11880875 -0.89396131, 37.12119293 -0.90008473))",0.018991383150953,765,admin,3573.0,EV_Service_Center 3,Yes
3,3,KEN,Taita Taveta,KEN.39_1,129166,-3.364,38.6488,"POLYGON ((38.44567871 -4.13787842, 38.55090332 -3.93890381, 38.50030518 -3.81109619, 38.48309326 -3.80828857, 38.48413086 -3.78741455, 38.46972656 -3.77392578, 38.4664917 -3.74682617, 38.43389893 -3.71411133, 38.5980835 -3.60650635, 38.57012939 -3.55780029, 38.4755249 -3.55731201, 38.44671631 -3.48010254, 38.4822998 -3.44500732, 38.48272705 -3.45281982, 38.49609375 -3.44812012, 38.49908447 -3.45452881, 38.5045166 -3.44647217, 38.52069092 -3.45068359, 38.55029297 -3.43670654, 38.55267334 -3.41748047, 38.54856491 -3.43510413, 38.53897095 -3.4390254, 38.51099014 -3.43128181, 38.50292969 -3.4105835, 38.48352051 -3.40429687, 38.43670654 -3.36437988, 38.44111252 -3.33646536, 38.42669678 -3.33630371, 38.41247559 -3.32330322, 38.40551758 -3.29681396, 38.42828369 -3.29180908, 38.41607666 -3.25408936, 38.43249512 -3.25280762, 38.44171143 -3.16650391, 38.29772949 -3.16650391, 38.28692627 -3.15100098, 38.28387451 -3.11749268, 38.31408691 -3.07891846, 38.30291748 -3.05670166, 38.28833008 -3.06292725, 38.27684402 -3.05866694, 38.27111816 -3.0670166, 38.26751709 -3.06091309, 38.26489258 -3.0690918, 38.25311279 -3.06152344, 38.25292969 -3.07958984, 38.230896 -3.07067871, 38.22747803 -3.07629395, 38.2230835 -3.06652832, 38.19848633 -3.05712891, 38.18688965 -3.06488037, 38.17169189 -3.05828857, 38.16729736 -3.06781006, 38.15887451 -3.06781006, 38.08947754 -3.03399658, 38.06591797 -3.03637695, 38.05389404 -3.02008057, 38.02630615 -3.02227783, 38.00653076 -3.0112915, 37.98529053 -3.01690674, 37.97692871 -3.00708008, 37.9666748 -3.01068115, 37.94592285 -2.99902344, 37.91351318 -3.04119873, 37.91333008 -3.05871582, 37.90008545 -3.07330322, 37.89447021 -3.1315918, 37.85351562 -3.16918945, 37.85430908 -3.08007812, 37.87072754 -3.07751465, 37.89447021 -2.88568115, 37.91787338 -2.86843395, 37.93745804 -2.77075696, 37.97442245 -2.78738523, 38.11529541 -2.71258545, 38.12874603 -2.69810748, 38.15332031 -2.69818115, 38.16131592 -2.67919922, 38.16250229 -2.69302964, 38.25787354 -2.75762939, 38.36187744 -2.89801025, 38.3928833 -2.92602825, 38.40869141 -2.92700195, 38.45989227 -2.99221325, 38.48851776 -2.97758627, 38.49278641 -2.98400426, 38.51323318 -2.98350358, 38.51941681 -2.97469211, 38.53808594 -2.97338867, 38.55950928 -2.98602295, 38.58428955 -2.98748779, 38.59404373 -2.99906015, 38.60845184 -2.99471927, 38.60828018 -3.00643444, 38.64274597 -3.01268864, 38.66522598 -3.0393405, 38.70727539 -3.03148627, 38.75435638 -3.04620361, 38.77403259 -3.04341745, 38.80889893 -3.05267334, 38.798069 -3.06043553, 38.80529785 -3.06842208, 38.8414917 -3.05340576, 38.84767532 -3.06089568, 38.86230469 -3.05749512, 38.89327621 -3.03773904, 38.97668457 -3.0393014, 38.99188232 -3.0256958, 39.02560806 -3.02062988, 39.04528809 -3.02099609, 39.04583359 -3.03126073, 39.07891846 -3.04199219, 39.08551025 -3.05322266, 39.08990479 -3.04272461, 39.12567139 -3.01947021, 39.13549805 -3.04199219, 39.14349365 -3.04852295, 39.15270996 -3.04467773, 39.16430664 -3.06512451, 39.17767334 -3.05700684, 39.21990967 -3.06671143, 39.05609131 -3.68450928, 38.96850586 -3.63360596, 38.93048096 -3.69580078, 39.03527832 -3.75817871, 38.94610596 -3.95947266, 38.44567871 -4.13787842))",0.7698564554257713,13,admin,2584.0,EV_Service_Center 4,Yes
4,4,KEN,Busia,KEN.4_1,163870,0.5453,34.2201,"POLYGON ((34.14012146 0.45343944, 34.10340881 0.47034487, 34.11945724 0.48342201, 34.12297821 0.51727301, 34.11603546 0.52313602, 34.12742996 0.55856901, 34.13758087 0.585697, 34.1528511 0.587385, 34.17448425 0.6081420199999999, 34.18566895 0.60675502, 34.19712067 0.62756801, 34.23555756 0.62618208, 34.24860001 0.61578453, 34.24607468 0.60109413, 34.29333496 0.58702421, 34.29383087 0.61243755, 34.30525208 0.59889579, 34.34579849 0.58162719, 34.34848785 0.55116183, 34.29272461 0.4929004, 34.27724075 0.48926094, 34.27911377 0.51061231, 34.24100113 0.50870204, 34.21675491 0.49455422, 34.20392227 0.47458071, 34.18505478 0.46778518, 34.15001678 0.47746778, 34.14012146 0.45343944))",0.0243319139280643,547,admin,3275.0,EV_Service_Center 5,No
5,5,KEN,Taita Taveta,KEN.39_1,89352,-3.7193,38.3374,"POLYGON ((38.50030518 -3.81109619, 38.55090332 -3.93890381, 38.44500732 -4.1387887, 38.05840683 -3.86739278, 38.10552979 -3.86328125, 38.11529541 -3.85229492, 38.16827393 -3.87872314, 38.22149658 -3.87042236, 38.26348877 -3.85437012, 38.25830078 -3.80157471, 38.23794937 -3.76883268, 38.13330078 -3.75061035, 38.13348389 -3.43560791, 38.11907959 -3.43548584, 38.11853027 -3.40307617, 38.11871338 -3.37731934, 38.13348389 -3.37731934, 38.13348389 -3.3637085, 38.22387695 -3.38739014, 38.21270752 -3.42468262, 38.26367188 -3.43121338, 38.27087402 -3.41540527, 38.29150391 -3.41278076, 38.31591797 -3.42901611, 38.32067871 -3.41900635, 38.3336792 -3.42028809, 38.3336792 -3.41088867, 38.34692383 -3.42010498, 38.37750244 -3.41320801, 38.39349365 -3.41967773, 38.39691162 -3.4052124, 38.41491699 -3.41107178, 38.41931152 -3.38616943, 38.40368652 -3.36920166, 38.40032959 -3.3380127, 38.42388916 -3.33111572, 38.44111252 -3.33646536, 38.43670654 -3.36437988, 38.48352051 -3.40429687, 38.50292969 -3.4105835, 38.51099014 -3.43128181, 38.53897095 -3.4390254, 38.54856491 -3.43510413, 38.55249023 -3.41662598, 38.55029297 -3.43670654, 38.52069092 -3.45068359, 38.5045166 -3.44647217, 38.49908447 -3.45452881, 38.49609375 -3.44812012, 38.48272705 -3.45281982, 38.4822998 -3.44500732, 38.44671631 -3.48010254, 38.4755249 -3.55731201, 38.57012939 -3.55780029, 38.5980835 -3.60650635, 38.43389893 -3.71411133, 38.4664917 -3.74682617, 38.46972656 -3.77392578, 38.48413086 -3.78741455, 38.48309326 -3.80828857, 38.50030518 -3.81109619))",0.2296070944830333,31,admin,1780.0,EV_Service_Center 6,No
6,6,KEN,Bomet,KEN.2_1,170937,-0.7108,35.3232,"POLYGON ((35.31015778 -0.75087368, 35.2858429 -0.77332938, 35.24806595 -0.78580046, 35.24238586 -0.78050035, 35.23429489 -0.79869342, 35.24110031 -0.8119207000000001, 35.21905518 -0.80760688, 35.22672272 -0.76598215, 35.21917725 -0.75871289, 35.24338913 -0.74231166, 35.24343872 -0.68941492, 35.27600479 -0.6549176, 35.29379272 -0.64520133, 35.32345581 -0.65001768, 35.33859253 -0.64283133, 35.37401581 -0.64362133, 35.3839798 -0.65284634, 35.39690018 -0.63858372, 35.43415833 -0.72112429, 35.41517258 -0.7297837700000001, 35.40979385 -0.74072891, 35.39424133 -0.73782623, 35.38854218 -0.71909618, 35.37907028 -0.7190710300000001, 35.39327621 -0.7460115, 35.3812294 -0.7495080200000001, 35.39887619 -0.76992923, 35.36227798 -0.76040369, 35.36167526 -0.74510264, 35.34087372 -0.74322981, 35.33180237 -0.77050614, 35.31015778 -0.75087368))",0.0199868137583082,694,admin,3422.0,EV_Service_Center 7,Yes
7,7,KEN,Bungoma,KEN.3_1,186529,0.6966,34.603,"POLYGON ((34.62008286 0.60473371, 34.61077881 0.60027474, 34.59129715 0.61007738, 34.57063293 0.5933142300000001, 34.52971268 0.66082567, 34.5577774 0.68170732, 34.54388809 0.7082728700000001, 34.57828522 0.78826433, 34.63705826 0.80735874, 34.65208817 0.7956742, 34.66279602 0.74946761, 34.65963745 0.73395151, 34.64632034 0.74249738, 34.62571716 0.71391422, 34.64632797 0.67901778, 34.66733551 0.67221862, 34.67449951 0.64705259, 34.64877319 0.63144642, 34.63891983 0.61236155, 34.62008286 0.60473371))",0.0187041181370611,810,admin,3734.0,EV_Service_Center 8,No
8,8,KEN,Nyamira,KEN.34_1,156483,-0.7107,35.0222,"POLYGON ((35.01272202 -0.88390034, 34.95027542 -0.77874565, 34.98049927 -0.75918454, 34.97519302 -0.75691098, 34.98869324 -0.72754377, 35.01288223 -0.70151621, 35.01802063 -0.65245956, 35.00424576 -0.6411081, 34.998806 -0.61961728, 34.97480392 -0.61094171, 34.96138763 -0.59287089, 34.94160461 -0.54575533, 34.95677185 -0.54601467, 34.96241379 -0.5354282299999999, 34.98773575 -0.57759815, 35.00966644 -0.59412849, 35.03261948 -0.5866819599999999, 35.03284454 -0.49255055, 35.0491333 -0.49227598, 35.05714798 -0.50204331, 35.04789352 -0.51659095, 35.05299759 -0.53000468, 35.0474472 -0.56612647, 35.06191254 -0.59762508, 35.05680084 -0.61333656, 35.06429672 -0.62424308, 35.05482483 -0.6506657, 35.07238007 -0.68711972, 35.04770279 -0.702124, 35.09130478 -0.79685903, 35.04436493 -0.84850454, 35.02189636 -0.84254587, 35.02537918 -0.86878937, 35.01792908 -0.86704594, 35.01272202 -0.88390034))",0.0239477097714679,530,admin,3123.0,EV_Service_Center 9,Yes
9,9,KEN,Kilifi,KEN.14_1,286778,-3.4584,39.8918,"POLYGON ((39.79669189 -3.75537109, 39.81469727 -3.70861816, 39.8046875 -3.70379639, 39.78149414 -3.71258545, 39.76489258 -3.60290527, 39.75408936 -3.6030221, 39.76092529 -3.59020996, 39.7479248 -3.581604, 39.79467773 -3.54309082, 39.80529785 -3.51489258, 39.81030273 -3.37561035, 39.80010986 -3.34527588, 39.80855942 -3.29134965, 39.91790771 -3.36010742, 39.91790771 -3.25061035, 39.97888184 -3.24688721, 39.98669434 -3.21392822, 40.00830078 -3.2197876, 40.01251221 -3.24328613, 40.03948975 -3.25378418, 40.03948975 -3.26849365, 40.05432129 -3.26867676, 40.0546875 -3.28057861, 40.12513733 -3.27624893, 40.11347198 -3.29902697, 40.01291656 -3.36374998, 40.00680542 -3.36152792, 39.97652817 -3.39013791, 39.9695816 -3.38764, 39.97180557 -3.35430503, 39.96569443 -3.34430695, 39.98791504 -3.34736109, 39.98374939 -3.33208394, 39.99152756 -3.321805, 39.96374893 -3.33180594, 39.95708466 -3.34430695, 39.9659729 -3.35347295, 39.96152878 -3.375139, 39.9695816 -3.37541699, 39.96486282 -3.384027, 39.95819473 -3.37375093, 39.95735931 -3.37541699, 39.9695816 -3.40624905, 39.87152863 -3.6315279, 39.84513855 -3.63541603, 39.82125092 -3.60958409, 39.81180573 -3.62180495, 39.80680466 -3.60985994, 39.80014038 -3.60625005, 39.79513931 -3.6090281, 39.80680466 -3.61180711, 39.8120842 -3.6318059, 39.80263901 -3.63819408, 39.81124878 -3.64763904, 39.83708191 -3.63347197, 39.86375046 -3.64319491, 39.8698616 -3.66652894, 39.86236191 -3.67986107, 39.87069321 -3.69652891, 39.84375 -3.77387619, 39.82727051 -3.76849365, 39.81951904 -3.78417969, 39.80749512 -3.78100586, 39.81652832 -3.76318359, 39.79669189 -3.75537109))",0.0679230319658793,343,admin,5737.0,EV_Service_Center 10,No
